city_name,longitude,latitude,max_temp,humidity,cloudiness,wind_speed,country,city_date
Bredasdorp,20.04,-34.53,68.0,56,8,0.72,ZA,1586852353
Amapá,-52.0,1.0,70.72,94,100,1.9,BR,1586852353
Hasaki,140.83,35.73,59.0,30,20,16.11,JP,1586852353
Longyearbyen,15.64,78.22,23.0,79,90,28.86,SJ,1586852354
Aykhal,111.5,66.0,44.6,39,73,13.42,RU,1586852354
Port Alfred,26.89,-33.59,66.0,70,99,5.99,ZA,1586852354
Antalaha,50.28,-14.9,83.61,67,32,8.93,MG,1586852224
Itarema,-39.92,-2.92,75.49,87,100,2.8,BR,1586852354
Kahului,-156.47,20.89,75.2,78,20,12.01,US,1586852191
Gonder,37.47,12.6,78.51,19,38,6.06,ET,1586852355
Laas,10.7,46.62,62.6,80,5,5.82,IT,1586852355
Bambous Virieux,57.76,-20.34,82.99,69,40,17.22,MU,1586852355
Lucapa,20.74,-8.42,81.91,54,70,2.24,AO,1586852355
Kiama,150.87,-34.68,70.0,68,0,5.82,AU,1586852356
Padang,100.35,-0.95,85.12,69,100,2.55,ID,1586852356
Nikolskoye,30.79,59.7,37.4,74,75,8.95,RU,1586852356
Leshukonskoye,45.76,64.9,39.09,76,97,11.92,RU,1586852356
Monywa,95.13,22.12,103.6,17,0,4.03,MM,1586852357
Castro,-50.01,-24.79,56.64,73,100,3.67,BR,1586852253
Hithadhoo,73.08,-0.6,85.55,67,25,7.31,MV,1586852357
Lompoc,-120.46,34.64,53.6,81,90,3.36,US,1586852357
Alenquer,-54.74,-1.94,73.4,100,75,2.24,BR,1586852357
Puerto Ayora,-90.35,-0.74,73.99,94,100,5.01,EC,1586852358
Makassar,119.42,-5.14,89.6,70,20,3.36,ID,1586852358
Airai,125.41,-8.93,66.42,70,100,2.24,TL,1586852358
Avarua,-159.78,-21.21,77.0,69,20,4.7,CK,1586852358
Werda,23.28,-25.27,73.06,30,67,9.33,BW,1586852358
Severo-Kuril'sk,156.12,50.68,29.71,94,83,11.41,RU,1586852359
General Pico,-63.76,-35.66,49.86,59,30,4.59,AR,1586852359
Ouahigouya,-2.42,13.58,95.25,16,37,4.45,BF,1586852359
Alice Town,-79.3,25.72,79.93,83,83,14.16,BS,1586852359
Banes,-75.72,20.96,75.2,88,45,9.17,CU,1586852359
Oranjemund,16.43,-28.55,64.18,52,0,14.41,NA,1586852360
Chara,118.26,56.91,34.2,63,44,0.89,RU,1586852360
San Andrés,-81.7,12.58,82.4,74,20,12.75,CO,1586852360
Faya,42.45,18.39,73.4,56,40,14.99,SA,1586852360
Punta Arenas,-70.92,-53.15,46.4,81,75,5.82,CL,1586852360
Buffalo,-78.88,42.89,37.99,51,20,16.11,US,1586852361
Hushitai,123.51,41.93,75.2,19,1,15.66,CN,1586852361
Callaway,-85.57,30.15,68.0,77,20,5.82,US,1586852361
Torbay,-52.73,47.67,37.99,69,90,9.17,CA,1586852361
Kavieng,150.8,-2.57,84.52,75,100,9.78,PG,1586852361
Mandera,41.87,3.94,89.01,11,48,3.0,KE,1586852361
Lebu,-73.65,-37.62,49.44,76,100,7.4,CL,1586852362
Esperance,121.9,-33.87,71.6,68,100,5.82,AU,1586852362
Butaritari,172.79,3.07,83.97,80,14,15.9,KI,1586852107
Birmingham,-86.8,33.52,48.99,81,90,8.05,US,1586852342
Ambovombe,46.08,-25.17,88.03,42,0,7.34,MG,1586852362
Bushehr,50.84,28.97,77.0,47,0,9.17,IR,1586852362
Sarkand,79.92,45.41,57.0,48,100,2.33,KZ,1586852363
Makakilo City,-158.09,21.35,77.0,83,90,4.97,US,1586852363
Chui,-53.46,-33.7,59.18,93,67,11.41,UY,1586852363
Qaanaaq,-69.36,77.48,21.85,95,100,1.3,GL,1586852363
Vegreville,-112.05,53.5,30.99,61,100,5.28,CA,1586852363
Yenagoa,6.26,4.92,88.0,67,91,3.74,NG,1586852364
Bariloche,-71.31,-41.15,32.0,62,96,6.93,AR,1586852364
Petropavlovsk-Kamchatskiy,158.65,53.05,33.8,74,40,11.18,RU,1586852364
Darhan,105.92,49.49,48.7,33,59,11.07,MN,1586852364
Port Elizabeth,25.57,-33.92,68.0,52,12,20.8,ZA,1586852365
Fortuna,-124.16,40.6,46.4,100,1,11.41,US,1586852365
Ulaangom,92.07,49.98,33.67,69,99,2.42,MN,1586852365
Goderich,-81.72,43.75,37.0,70,34,17.87,CA,1586852120
‘Ewa Beach,-158.01,21.32,77.0,83,90,4.9,US,1586852073
Nome,-165.41,64.5,30.99,92,90,6.93,US,1586852366
Ogaminana,6.22,7.59,90.37,51,86,2.21,NG,1586852366
Arlit,7.39,18.74,96.3,8,13,8.52,NE,1586852366
Port Lincoln,135.87,-34.73,70.47,49,100,6.49,AU,1586852366
Porto Torres,8.4,40.84,64.4,82,14,6.93,IT,1586852366
Rock Sound,-76.2,24.9,77.45,84,58,13.31,BS,1586852367
Yellowknife,-114.35,62.46,14.0,66,5,5.82,CA,1586852367
Tilichiki,166.1,60.47,13.39,92,100,6.69,RU,1586852367
Nhulunbuy,136.77,-12.23,84.2,70,40,14.99,AU,1586852367
Tuy Hoa,109.3,13.08,78.64,80,57,11.81,VN,1586852135
Cabatuan,122.49,10.88,85.32,64,31,4.94,PH,1586852367
Wattegama,81.48,6.8,92.3,49,15,10.07,LK,1586852368
Bandundu Province,17.37,-3.32,89.67,56,78,0.38,CD,1586852368
Vestmannaeyjar,-20.27,63.44,41.0,75,20,28.86,IS,1586852368
Kiryat Gat,34.76,31.61,73.0,56,0,6.93,IL,1586852147
Kununurra,128.73,-15.77,96.8,25,83,6.93,AU,1586852368
Bethel,-73.41,41.37,50.0,49,1,9.17,US,1586852246
Grimshaw,-117.6,56.18,39.2,48,90,5.82,CA,1586852369
Minggang,114.05,32.46,72.64,43,100,7.02,CN,1586852369
Centralia,-122.95,46.72,51.8,52,90,8.05,US,1586852369
Kawambwa,29.08,-9.79,73.87,59,81,0.54,ZM,1586852369
Tasiilaq,-37.64,65.61,30.2,42,2,23.04,GL,1586852369
Upington,21.26,-28.45,57.2,58,20,11.41,ZA,1586852369
Katangli,143.23,51.71,30.06,98,52,4.09,RU,1586852369
Tabuk,121.44,17.42,77.67,67,83,4.05,PH,1586852370
Sikonge,32.77,-5.63,66.2,93,90,8.05,TZ,1586852284
Iqaluit,-68.51,63.75,12.2,85,90,2.24,CA,1586852370
Suda,37.56,59.15,35.31,90,100,6.71,RU,1586852370
Rocha,-54.33,-34.48,59.18,92,85,8.23,UY,1586852370
Isabela,121.97,6.71,87.8,66,20,5.82,PH,1586852371
Daşoguz,59.97,41.84,57.2,26,0,9.17,TM,1586852371
Mount Isa,139.5,-20.73,93.2,14,47,6.93,AU,1586852371
Taft,54.21,31.75,62.6,42,20,9.17,IR,1586852371
Kourou,-52.65,5.16,78.8,74,90,6.35,GF,1586852371
Qinzhou,108.62,21.95,74.21,47,4,10.33,CN,1586852371
Olinda,-34.86,-8.01,78.8,83,40,3.36,BR,1586852372
Inyonga,32.07,-6.72,72.03,63,100,5.68,TZ,1586852372
Matamoros,-103.25,25.53,66.99,14,0,2.75,MX,1586852372
Meulaboh,96.13,4.14,83.07,77,100,4.12,ID,1586852372
Bara,10.73,10.37,95.16,9,45,12.59,NG,1586852372
Charters Towers,146.27,-20.1,75.72,63,34,9.98,AU,1586852373
Pevek,170.31,69.7,4.19,91,0,5.26,RU,1586852373
Tiffin,-83.18,41.11,36.0,64,1,5.82,US,1586852373
Mahajanga,46.32,-15.72,95.0,47,20,12.75,MG,1586852373
Aranos,19.12,-24.13,71.11,24,15,1.28,NA,1586852373
George Town,100.34,5.41,87.8,74,20,8.05,MY,1586852264
Mar del Plata,-57.56,-38.0,57.99,62,68,6.93,AR,1586852084
Laguna,-121.42,38.42,59.0,64,1,10.29,US,1586852374
Kampot,104.18,10.62,91.4,52,40,8.05,KH,1586852374
Opuwo,13.84,-18.06,82.29,26,0,9.31,NA,1586852374
Ust-Nera,143.2,64.57,22.23,87,94,3.27,RU,1586852374
Tranås,14.98,58.04,39.2,47,18,14.99,SE,1586852129
Harper,-7.72,4.38,84.94,72,58,5.46,LR,1586852375
Tiksi,128.87,71.69,9.93,93,100,6.69,RU,1586852375
Shitkino,98.35,56.37,55.69,40,0,6.58,RU,1586852375
Gouyave,-61.73,12.16,78.31,76,6,14.23,GD,1586852375
Anloga,0.9,5.79,84.2,83,20,8.05,GH,1586852376
Grand Gaube,57.66,-20.01,82.99,69,40,17.22,MU,1586852376
Pundaguitan,126.17,6.37,83.75,70,8,11.18,PH,1586852376
Stornoway,-6.39,58.21,45.0,81,100,11.41,GB,1586852376
Belaya Gora,146.42,68.53,1.49,90,91,6.13,RU,1586852376
Xining,101.77,36.62,67.23,9,88,7.02,CN,1586852377
Acaraú,-40.12,-2.89,74.97,89,100,2.3,BR,1586852377
Wasilla,-149.44,61.58,37.4,92,1,1.86,US,1586852182
Linqiong,103.46,30.42,71.6,43,75,2.24,CN,1586852377
Anzio,12.62,41.49,57.0,87,75,5.82,IT,1586852377
Pangnirtung,-65.71,66.15,4.75,89,92,2.59,CA,1586852378
Te Karaka,177.87,-38.47,46.08,58,3,3.33,NZ,1586852378
Shimoda,138.95,34.67,60.8,51,20,9.17,JP,1586852378
Avera,-82.53,33.19,59.0,93,1,3.36,US,1586852378
Beloha,45.05,-25.17,90.09,36,0,2.01,MG,1586852378
Sitka,-135.33,57.05,44.6,93,90,6.93,US,1586852378
Jos,8.9,9.92,85.35,9,84,12.12,NG,1586852379
Hereford,-2.71,52.06,46.0,68,2,1.01,GB,1586852379
Port Hardy,-127.42,50.7,41.0,65,20,3.36,CA,1586852379
Constitución,-72.42,-35.33,52.9,60,84,6.13,CL,1586852379
Luanda,13.23,-8.84,82.4,78,75,9.17,AO,1586852379
Loukhi,33.04,66.08,33.55,96,100,6.4,RU,1586852380
Kushima,131.23,31.46,64.4,52,40,6.93,JP,1586852380
Flinders,150.86,-34.58,70.0,68,0,5.82,AU,1586852380
Portland,-122.68,45.52,53.6,40,40,5.82,US,1586852099
Saskylakh,114.08,71.92,14.32,94,98,17.4,RU,1586852381
Bayangol,103.47,50.7,40.84,34,98,9.98,RU,1586852381
Crailsheim,10.07,49.13,44.01,55,22,8.05,DE,1586852381
Egvekinot,-179.17,66.32,12.52,90,100,1.99,RU,1586852381
Diffa,12.61,13.32,97.29,8,57,24.45,NE,1586852381
Cabo San Lucas,-109.91,22.89,64.0,68,90,13.33,MX,1586852382
Guerrero Negro,-114.06,27.98,58.46,76,73,15.64,MX,1586852382
Muros,-9.06,42.78,60.01,93,40,1.12,ES,1586852382
Isangel,169.27,-19.55,78.94,77,100,11.74,VU,1586852383
Mae Chan,99.85,20.15,88.0,58,20,4.7,TH,1586852383
Vallenar,-70.76,-28.57,55.67,49,91,0.78,CL,1586852383
